"113年11月14日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"特選臺灣科技高息成長指數","5,058.15","-","69.15","-1.35","",
"特選臺灣AI優息動能指數","4,889.41","-","61.71","-1.25","",
"臺灣優選AI 50指數","4,818.92","-","68.40","-1.40","",
"臺灣AI供應鏈聯盟指數","5,538.35","-","14.40","-0.26","",
"台灣旗艦動能50指數","5,144.80","-","63.15","-1.21","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","45,065.59","-","495.42","-1.09","",
"金融類日報酬反向一倍指數","3,584.29","+","19.38","0.54","",
"漲升股利150指數","9,834.43","-","114.18","-1.15","",
"藍籌30指數","10,659.73","-","80.55","-0.75","",
"工業菁英30指數","11,111.21","-","104.15","-0.93","",
"低波動股利精選30指數","8,329.21","-","50.72","-0.61","",
"中小型A級動能50指數","23,985.93","-","447.65","-1.83","",
"特選高息低波指數","10,132.80","-","59.68","-0.59","",
"臺灣永續指數","11,949.76","-","83.17","-0.69","",
"價值投資指數","7,909.98","-","54.63","-0.69","",
"存股雙十等權重指數","9,529.54","-","94.05","-0.98","",
"特選大蘋果指數","11,606.40","-","193.52","-1.64","",
"中小型300指數","11,502.61","-","105.84","-0.91","",
"臺灣500指數","11,414.17","-","82.42","-0.72","",
"臺灣勞工權益指數","9,672.37","-","88.23","-0.90","",
"微波高息精選20指數","9,037.90","-","81.02","-0.89","",
"特選世代行動通訊指數","8,726.10","-","85.30","-0.97","",
"智慧投資多因子30指數","7,644.57","-","59.57","-0.77","",
"臺股期貨指數","12,373.21","-","53.88","-0.43","",
"特選價值成長指數","10,068.77","+","26.85","0.27","",
"臺灣上櫃永續指數","7,606.37","-","141.38","-1.82","",
"特選台股領航指數","11,481.26","-","97.24","-0.84","",
"特選Smart多因子指數","9,220.19","-","67.95","-0.73","",
"特選ESG高股息指數","6,837.24","-","63.41","-0.92","",
"特選上櫃ESG成長指數","5,431.42","-","122.15","-2.20","",
"特選上櫃ESG電子菁英指數","5,533.28","-","122.29","-2.16","",
"臺灣優息存股指數","5,275.12","-","12.06","-0.23","",
"特選上櫃ESG永續高股息指數","7,104.04","-","148.17","-2.04","",
"特選臺灣金融高股息存股指數","6,602.73","-","39.15","-0.59","",
"特選臺灣產業龍頭存股等權重指數","6,761.43","-","46.34","-0.68","",
"上櫃ESG 30指數","6,369.83","-","137.70","-2.12","",
"臺灣ESG低碳50指數","7,736.54","-","71.23","-0.91","",
"臺灣創新板指數","7,533.29","-","54.81","-0.72","",
"特選上櫃ESG龍頭指數","6,083.65","-","126.03","-2.03","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","38,143.00","-","270.55","-0.70","",
"發行量加權股價報酬指數","50,118.77","-","319.59","-0.63","",
"臺灣公司治理100報酬指數","19,807.68","-","86.67","-0.44","",
"臺灣50報酬指數","42,206.26","-","195.43","-0.46","",
"臺灣50權重上限30%報酬指數","37,008.48","-","276.08","-0.74","",
"臺灣中型100報酬指數","39,905.63","-","393.72","-0.98","",
"臺灣資訊科技股報酬指數","78,973.82","-","348.93","-0.44","",
"臺灣發達報酬指數","20,656.86","-","197.40","-0.95","",
"臺灣高股息報酬指數","28,148.47","-","331.00","-1.16","",
"臺灣就業99報酬指數","22,072.72","-","189.91","-0.85","",
"臺灣高薪100報酬指數","19,076.58","-","153.83","-0.80","",
"未含金融電子報酬指數","33,882.60","-","309.62","-0.91","",
"小型股300報酬指數","15,828.58","-","170.47","-1.07","",
"水泥類報酬指數","337.87","-","1.34","-0.40","",
"食品類報酬指數","3,762.05","-","38.22","-1.01","",
"塑膠類報酬指數","253.66","-","6.49","-2.49","",
"紡織纖維類報酬指數","1,100.28","-","11.36","-1.02","",
"電機機械類報酬指數","623.70","-","4.68","-0.74","",
"電器電纜類報酬指數","159.61","-","1.18","-0.73","",
"化學生技醫療類報酬指數","222.31","-","2.24","-1.00","",
"化學類報酬指數","294.72","-","3.34","-1.12","",
"生技醫療類報酬指數","109.19","-","1.01","-0.92","",
"玻璃陶瓷類報酬指數","62.51","-","1.04","-1.64","",
"造紙類報酬指數","483.52","-","4.10","-0.84","",
"鋼鐵類報酬指數","232.29","-","3.11","-1.32","",
"橡膠類報酬指數","449.93","-","4.92","-1.08","",
"汽車類報酬指數","631.88","-","0.25","-0.04","",
"電子工業類報酬指數","2,480.35","-","14.29","-0.57","",
"半導體類報酬指數","1,165.80","-","4.09","-0.35","",
"電腦及週邊設備類報酬指數","666.84","-","2.64","-0.39","",
"光電類報酬指數","60.27","-","0.89","-1.46","",
"通信網路類報酬指數","360.15","-","3.90","-1.07","",
"電子零組件類報酬指數","448.51","-","5.17","-1.14","",
"電子通路類報酬指數","682.34","-","1.92","-0.28","",
"資訊服務類報酬指數","503.67","-","3.18","-0.63","",
"其他電子類報酬指數","325.89","-","4.97","-1.50","",
"建材營造類報酬指數","1,158.63","-","9.76","-0.84","",
"航運類報酬指數","397.74","+","0.08","0.02","",
"觀光餐旅類報酬指數","171.63","-","2.54","-1.46","",
"金融保險類報酬指數","3,782.32","-","20.67","-0.54","",
"貿易百貨類報酬指數","484.69","-","4.21","-0.86","",
"油電燃氣類報酬指數","104.46","-","1.48","-1.40","",
"綠能環保類報酬指數","117.48","-","1.81","-1.52","",
