"113年11月14日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
="01001T","土銀富邦R1","0","0","0","--","--","--","--"," ","0.00","13.62","20","13.64","50","0.00",
="01002T","土銀國泰R1","15,000","4","237,900","15.86","15.86","15.86","15.86"," ","0.00","15.86","81","15.88","2","0.00",
="01004T","土銀富邦R2","75,009","12","890,987","11.95","11.95","11.80","11.93","-","0.02","11.93","11","11.95","398","0.00",
="01007T","兆豐國泰R2","1,109","3","17,619","15.90","15.90","15.90","15.90"," ","0.00","15.80","31","15.95","20","0.00",
="01009T","王道圓滿R1","4,150","5","30,300","7.20","7.38","7.20","7.25","-","0.18","7.20","1","7.28","4","0.00",
="01010T","京城樂富R1","2,000","2","19,990","9.99","10.00","9.99","10.00"," ","0.00","9.99","14","10.00","20","0.00",
="020000","富邦特選蘋果N","0","0","0","--","--","--","--"," ","0.00","12.38","10","12.42","10","0.00",
="020011","統一微波高息20N","0","0","0","--","--","--","--"," ","0.00","10.71","135","10.72","122","0.00",
="020012","富邦行動通訊N","0","0","0","--","--","--","--"," ","0.00","10.22","10","10.25","10","0.00",
="020015","統一MSCI美低波N","0","0","0","--","--","--","--"," ","0.00","18.57","108","18.60","197","0.00",
="020016","統一MSCI美科技N","0","0","0","--","--","--","--"," ","0.00","31.30","143","31.33","122","0.00",
="020018","統一價值成長30N","0","0","0","--","--","--","--"," ","0.00","25.53","153","25.54","144","0.00",
="020019","統一特選台灣5GN","1,000","1","18,990","18.99","18.99","18.99","18.99","X","0.00","19.04","109","19.06","127","0.00",
="02001L","富邦蘋果正二N","61,000","26","1,708,910","28.48","28.48","27.70","28.05","-","1.05","27.97","1","28.00","10","0.00",
="02001R","富邦蘋果反一N","0","0","0","--","--","--","--"," ","0.00","1.38","100","1.39","100","0.00",
="02001S","策元大加權策略N","363,000","4","2,743,070","7.57","7.57","7.53","7.53","-","0.06","7.54","125","7.56","125","0.00",
="020020","元大台股領航N","15,000","12","181,020","12.17","12.17","12.00","12.06","-","0.11","12.06","499","12.07","499","0.00",
="020028","元大特選電動車N","19,000","6","180,960","9.60","9.60","9.49","9.49","-","0.16","9.49","499","9.50","499","0.00",
="020029","元大ESG高股息N","9,000","7","81,210","9.06","9.06","9.00","9.02","-","0.05","9.02","499","9.03","499","0.00",
="020030","統一智慧電動車N","109,000","4","684,530","6.29","6.29","6.28","6.28","-","0.06","6.26","231","6.28","232","0.00",
="020031","統一IC設計臺灣N","51,000","2","283,020","5.55","5.55","5.52","5.52","-","0.06","5.52","238","5.54","246","0.00",
="020032","元大綠能N","3,000","1","17,310","5.77","5.77","5.77","5.77","-","0.05","5.75","499","5.76","499","0.00",
="020034","元大IC設計N","22,000","9","163,570","7.52","7.52","7.41","7.41","-","0.11","7.42","499","7.43","499","0.00",
="020036","元大金融配息N","0","0","0","--","--","--","--"," ","0.00","6.48","499","6.49","499","0.00",
="020037","元大金融高股息N","1,000","1","6,920","6.92","6.92","6.92","6.92","X","0.00","6.89","499","6.90","499","0.00",
="020038","元大ESG配息N","0","0","0","--","--","--","--"," ","0.00","7.78","499","7.79","499","0.00",
="020039","元大加權N","829,000","54","5,754,640","6.99","6.99","6.92","6.95","-","0.08","6.94","123","6.96","123","0.00",
"1101","台泥","16,628,243","6,504","540,191,091","32.45","32.65","32.30","32.35","-","0.10","32.35","51","32.40","299","27.18",
"1101B","台泥乙特","85,021","32","3,949,574","46.50","46.60","46.40","46.60"," ","0.00","46.35","7","46.60","9","0.00",
"1102","亞泥","6,437,058","3,975","292,796,212","45.60","45.95","45.15","45.60","-","0.15","45.45","15","45.60","24","15.51",
"1103","嘉泥","236,597","232","4,203,170","17.80","17.90","17.65","17.65","-","0.20","17.65","11","17.70","4","25.21",
"1104","環泥","553,106","509","16,076,430","29.10","29.25","29.00","29.00","-","0.30","29.00","33","29.05","11","12.72",
"1108","幸福","328,338","144","4,742,505","14.50","14.55","14.40","14.40","-","0.05","14.40","70","14.45","2","13.85",
"1109","信大","303,483","544","5,558,917","18.35","18.50","18.20","18.25","-","0.10","18.25","3","18.30","5","10.49",
"1110","東泥","320,513","233","6,650,026","20.75","21.00","20.50","20.50","-","0.25","20.40","23","20.50","2","41.84",
"1201","味全","418,274","248","7,515,083","17.95","18.10","17.90","17.90","-","0.05","17.90","85","17.95","9","21.83",
"1203","味王","30,608","75","1,347,511","44.00","44.40","43.50","43.70","-","1.25","43.70","5","44.05","2","21.63",
"1210","大成","613,387","554","31,479,084","51.20","51.60","51.10","51.30","+","0.10","51.30","7","51.40","21","12.67",
"1213","大飲","101,021","32","1,228,912","12.50","12.60","12.05","12.50"," ","0.00","12.05","10","12.50","9","0.00",
"1215","卜蜂","266,726","570","25,682,052","96.70","96.70","96.10","96.10","-","0.50","96.10","24","96.30","3","15.25",
"1216","統一","8,460,538","3,569","730,376,475","86.10","87.00","85.80","86.00","-","0.90","86.00","27","86.10","62","25.60",
"1217","愛之味","681,977","336","8,115,156","11.90","12.00","11.85","11.85","-","0.05","11.85","256","11.90","5","17.69",
"1218","泰山","657,687","411","13,386,618","20.45","20.50","20.25","20.35","-","0.10","20.30","41","20.35","5","12.04",
"1219","福壽","594,942","434","9,971,133","16.85","16.95","16.65","16.70","-","0.20","16.65","35","16.70","4","28.31",
"1220","台榮","748,128","347","12,727,595","16.80","17.20","16.80","17.10","+","0.30","17.10","8","17.15","7","11.96",
"1225","福懋油","65,055","732","4,839,500","77.80","77.80","72.90","72.90","-","4.90","72.90","2","73.70","1","40.96",
"1227","佳格","479,804","435","17,884,719","37.20","37.45","37.20","37.20","-","0.05","37.20","86","37.25","9","21.88",
"1229","聯華","2,037,129","3,546","118,205,875","58.50","58.60","57.70","58.10","-","0.70","58.10","27","58.20","8","24.94",
"1231","聯華食","171,310","393","19,906,126","117.00","117.00","115.50","116.00"," ","0.00","115.50","18","116.00","2","26.01",
"1232","大統益","197,501","476","28,655,470","146.00","146.50","144.00","144.00","-","2.00","144.00","24","145.00","11","17.82",
"1233","天仁","5,540","16","176,453","31.85","31.85","31.80","31.80","-","0.25","31.80","1","31.90","1","35.73",
"1234","黑松","156,829","166","6,448,417","41.25","41.35","41.00","41.10","-","0.25","41.10","62","41.15","4","17.12",
"1235","興泰","33,010","57","4,726,399","145.00","146.00","140.00","145.00","-","1.50","145.00","10","147.00","2","31.25",
"1236","宏亞","13,398","78","308,520","23.10","23.10","22.90","22.90","-","0.25","22.90","2","23.10","1","0.00",
"1256","鮮活果汁-KY","36,432","175","4,902,394","136.00","137.00","133.50","133.50","-","2.50","133.50","2","134.00","1","17.01",
"1301","台塑","21,313,789","15,710","931,344,734","44.60","44.70","43.20","43.30","-","1.50","43.30","470","43.35","52","0.00",
"1303","南亞","12,634,846","7,411","501,546,450","40.50","40.50","39.35","39.60","-","0.95","39.50","9","39.60","80","99.00",
"1304","台聚","2,180,861","1,673","28,922,751","13.50","13.50","13.15","13.20","-","0.30","13.20","475","13.25","15","0.00",
"1305","華夏","1,027,670","649","15,358,903","15.15","15.20","14.85","14.85","-","0.35","14.85","48","14.90","8","0.00",
"1307","三芳","3,240,582","1,995","141,342,600","43.65","44.20","43.10","43.45"," ","0.00","43.45","7","43.50","51","14.44",
"1308","亞聚","2,528,721","1,728","43,279,584","17.35","17.50","16.90","16.90","-","0.65","16.90","123","17.05","1","0.00",
"1309","台達化","1,346,206","955","22,386,293","16.95","17.05","16.45","16.45","-","0.45","16.40","89","16.45","16","0.00",
"1310","台苯","723,039","659","8,241,330","11.40","11.45","11.35","11.35","-","0.10","11.35","117","11.40","34","0.00",
"1312","國喬","4,198,742","2,025","48,067,767","11.55","11.65","11.30","11.30","-","0.25","11.30","60","11.35","11","0.00",
"1312A","國喬特","1,000","1","23,200","23.20","23.20","23.20","23.20","-","0.05","23.20","3","23.45","2","0.00",
"1313","聯成","2,474,986","2,156","25,959,518","10.60","10.70","10.40","10.45","-","0.15","10.40","182","10.45","44","0.00",
"1314","中石化","24,048,872","8,786","186,921,269","7.93","7.93","7.70","7.71","-","0.19","7.71","810","7.72","485","24.09",
"1315","達新","22,719","178","1,586,016","70.00","70.00","69.50","69.50","-","0.50","69.80","1","69.90","1","69.50",
"1316","上曜","1,868,919","944","27,618,046","15.15","15.15","14.60","14.65","-","0.35","14.65","5","14.70","33","0.00",
"1319","東陽","8,078,366","6,085","893,518,499","108.50","113.00","108.00","109.50","+","3.50","109.50","243","110.00","4","16.64",
"1321","大洋","993,101","458","32,999,419","33.65","33.65","33.00","33.00","-","0.60","33.00","100","33.15","13","45.83",
"1323","永裕","49,074","139","1,264,576","26.00","26.00","25.55","25.60","-","0.45","25.55","5","25.60","1","9.34",
"1324","地球","60,655","82","770,560","12.80","12.90","12.60","12.70","-","0.10","12.70","3","12.75","2","181.43",
"1325","恆大","167,912","147","4,564,509","27.40","27.50","27.05","27.10","-","0.25","27.05","8","27.10","3","0.00",
"1326","台化","11,498,766","6,286","401,581,904","35.45","35.60","34.65","34.80","-","0.75","34.75","183","34.85","102","128.89",
"1337","再生-KY","195,484","226","1,348,475","6.95","6.95","6.87","6.87","-","0.08","6.87","6","6.88","8","0.00",
"1338","廣華-KY","278,340","310","8,313,441","30.15","30.25","29.40","29.40","-","0.70","29.40","8","29.60","4","0.00",
"1339","昭輝","121,412","160","6,487,660","53.70","54.20","52.80","53.10","-","0.60","53.00","5","53.10","3","9.82",
"1340","勝悅-KY","108,776","157","1,087,161","10.05","10.05","9.95","10.00","-","0.05","10.00","4","10.05","19","0.00",
"1341","富林-KY","7,359","15","498,938","68.00","68.00","67.80","67.80","-","0.20","67.70","1","67.90","2","14.55",
"1342","八貫","499,073","531","49,805,835","99.30","100.50","99.00","100.00","+","1.50","100.00","4","100.50","32","15.46",
"1402","遠東新","13,658,853","4,171","483,209,923","35.20","35.65","35.15","35.20","-","0.25","35.15","108","35.20","2","19.78",
"1409","新纖","1,426,071","813","21,484,677","15.15","15.20","15.00","15.05","-","0.10","15.00","720","15.10","50","16.91",
"1410","南染","30,898","37","1,127,422","36.45","36.70","36.40","36.50","-","0.05","36.45","1","36.65","1","107.35",
"1413","宏洲","92,140","36","884,177","9.65","9.67","9.58","9.60","-","0.01","9.60","4","9.67","2","0.00",
"1414","東和","919,668","490","20,116,389","22.60","22.75","21.50","21.75","-","0.80","21.65","2","21.75","6","72.50",
"1416","廣豐","1,056,184","338","13,466,685","13.00","13.10","12.55","12.55","-","0.40","12.55","94","12.60","1","23.68",
"1417","嘉裕","189,400","392","1,885,109","10.00","10.00","9.92","9.93","-","0.06","9.92","15","9.95","3","0.00",
"1418","東華","30,158","46","857,765","28.10","28.80","28.10","28.40","-","0.80","28.40","1","28.80","3","53.58",
"1419","新紡","44,478","96","1,993,315","45.05","45.05","44.70","44.75","-","0.40","44.70","8","44.80","1","20.81",
"1423","利華","27,445","21","1,034,883","38.15","38.35","37.60","37.75"," ","0.00","37.70","37","37.80","2","77.04",
"1432","大魯閣","295,896","330","5,743,301","19.55","19.60","19.30","19.30","-","0.10","19.25","41","19.35","3","0.00",
"1434","福懋","2,988,441","1,446","59,994,103","19.90","20.40","19.75","20.10","+","0.20","20.10","12","20.15","68","27.53",
"1435","中福","10,746","22","443,235","40.65","41.60","40.65","41.60","-","0.25","40.95","1","41.90","1","0.00",
"1436","華友聯","267,647","388","31,443,561","119.00","120.00","116.50","116.50","-","2.50","116.50","2","117.50","4","4.78",
"1437","勤益控","114,176","97","3,884,844","34.00","34.30","33.95","33.95","-","0.05","33.95","10","34.00","5","10.20",
"1438","三地開發","178,462","331","9,443,609","54.70","54.70","52.10","52.30","-","1.90","52.30","5","52.40","1","0.00",
"1439","雋揚","20,102","18","606,382","30.45","30.45","30.10","30.10","-","0.20","30.10","6","30.20","2","17.92",
"1440","南紡","1,245,533","729","18,587,931","15.00","15.10","14.85","14.85","-","0.20","14.85","12","14.90","11","9.83",
"1441","大東","70,591","184","1,002,273","14.45","14.45","14.00","14.05","-","0.40","14.00","9","14.10","2","10.73",
"1442","名軒","333,276","328","21,635,898","65.00","65.40","64.30","65.00"," ","0.00","65.00","7","65.10","1","6.59",
"1443","立益物流","26,363","34","862,474","33.15","33.25","32.35","32.50","-","1.00","32.50","1","32.75","1","20.31",
"1444","力麗","796,383","538","7,215,539","9.12","9.15","9.03","9.03","-","0.12","9.02","62","9.03","8","0.00",
"1445","大宇","111,750","81","1,870,033","16.75","17.00","16.65","16.65","-","0.15","16.65","1","16.70","1","2.28",
"1446","宏和","2,018,010","1,309","91,845,140","45.25","45.90","44.80","45.80","+","1.35","45.75","4","45.80","20","4.56",
"1447","力鵬","4,085,435","1,568","31,880,438","7.90","7.94","7.73","7.75","-","0.26","7.75","152","7.77","78","0.00",
"1449","佳和","12,535,956","6,382","308,370,622","25.55","25.55","23.60","23.85","-","1.70","23.85","104","23.90","9","32.67",
"1451","年興","388,738","290","8,095,037","21.05","21.05","20.70","20.75","-","0.20","20.75","10","20.80","40","69.17",
"1452","宏益","509,976","192","8,121,528","16.15","16.15","15.75","15.80","-","0.40","15.80","5","15.95","20","27.72",
"1453","大將","198,887","343","3,096,672","15.65","15.80","15.35","15.50","-","0.05","15.50","9","15.70","5","24.60",
"1454","台富","90,431","67","1,462,382","16.15","16.25","16.05","16.15","-","0.05","16.15","8","16.20","2","73.41",
"1455","集盛","1,118,674","830","11,113,994","10.05","10.05","9.86","9.87","-","0.18","9.87","28","9.88","4","47.00",
"1456","怡華","72,080","60","1,309,798","18.20","18.40","17.90","18.30","-","0.10","18.15","2","18.30","7","0.00",
"1457","宜進","120,236","107","2,308,245","19.15","19.30","19.10","19.10","-","0.25","19.10","32","19.20","2","5.95",
"1459","聯發","135,036","205","1,316,062","9.86","9.89","9.49","9.60","-","0.34","9.60","9","9.74","7","25.95",
"1460","宏遠","706,828","213","4,952,171","7.02","7.03","6.99","6.99","-","0.03","6.99","40","7.00","40","0.00",
"1463","強盛新","252,730","109","6,095,488","24.25","24.35","23.85","23.90","-","0.55","23.90","1","23.95","6","53.11",
"1464","得力","5,616,285","2,686","87,613,323","16.40","16.45","14.90","15.00","-","1.50","15.00","9","15.05","58","22.06",
"1465","偉全","46,056","65","663,579","14.50","14.50","14.30","14.30","-","0.20","14.30","9","14.35","8","75.26",
"1466","聚隆","971,156","552","14,277,725","14.55","15.15","14.30","14.30","-","0.15","14.25","17","14.30","14","0.00",
"1467","南緯","379,380","149","4,117,175","10.95","10.95","10.75","10.75","-","0.20","10.75","7","10.80","27","28.29",
"1468","昶和","43,001","36","624,014","14.65","14.65","14.40","14.50","-","0.15","14.50","1","14.55","6","25.89",
"1470","大統新創","24,041","17","467,495","19.40","19.75","19.35","19.40","-","0.45","19.35","1","19.40","1","25.19",
"1471","首利","6,224,876","2,575","93,217,427","14.85","15.30","14.35","15.10","+","0.40","15.05","26","15.10","7","79.47",
"1472","三洋實業","33,171","24","1,945,119","58.80","59.10","58.50","58.70","-","0.50","58.70","2","58.80","2","23.02",
"1473","台南","298,731","374","10,477,464","35.05","35.40","34.90","34.90","-","0.30","34.90","8","35.05","1","12.12",
"1474","弘裕","387,619","265","5,282,076","14.10","14.10","13.40","13.40","-","0.70","13.40","18","13.55","4","12.88",
"1475","業旺","541,573","450","32,089,375","60.00","60.90","58.00","58.00","-","4.50","58.00","17","58.50","8","9.78",
"1476","儒鴻","383,854","771","209,389,961","546.00","552.00","540.00","543.00","-","6.00","543.00","9","544.00","3","23.53",
"1477","聚陽","672,966","848","225,399,388","333.50","340.00","332.00","332.00","-","3.00","331.50","1","332.00","2","20.16",
"1503","士電","997,179","1,188","204,599,177","205.00","209.00","203.00","204.00","-","0.50","203.50","3","204.00","9","36.89",
"1504","東元","8,029,678","5,530","411,900,394","50.50","51.70","50.50","51.50","+","0.90","51.40","8","51.50","112","19.14",
"1506","正道","186,200","109","2,447,110","13.40","13.40","13.00","13.00","-","0.40","13.00","26","13.10","32","100.00",
"1512","瑞利","22,625","26","160,297","7.16","7.30","7.00","7.30","+","0.14","7.11","2","7.25","1","0.00",
"1513","中興電","5,848,774","5,839","946,764,246","163.00","166.00","159.00","160.50","-","2.50","160.00","60","160.50","12","22.26",
"1514","亞力","3,868,315","4,055","426,739,257","113.00","115.00","108.00","108.50","-","5.50","108.50","15","109.00","50","33.28",
"1515","力山","600,456","449","18,844,092","32.00","32.10","31.00","31.00","-","1.00","31.00","49","31.20","10","10.99",
"1516","川飛","265,436","179","4,529,774","17.70","17.70","16.80","17.05","-","0.55","17.00","1","17.05","1","74.13",
"1517","利奇","291,146","519","4,185,379","14.50","14.60","14.30","14.30","-","0.30","14.30","10","14.35","2","0.00",
"1519","華城","4,854,657","5,521","3,119,991,359","640.00","655.00","630.00","630.00","-","4.00","630.00","87","632.00","1","47.16",
"1521","大億","18,016","17","657,333","36.70","36.70","36.20","36.20","-","0.45","36.20","5","36.30","1","212.94",
"1522","堤維西","2,247,080","1,792","139,194,128","62.10","62.70","61.30","61.30","-","0.50","61.30","36","61.40","1","11.29",
"1522A","堤維西甲特","431","1","20,019","--","--","--","--"," ","0.00","46.25","1","46.50","2","0.00",
"1524","耿鼎","14,756,933","9,438","558,787,299","38.40","38.40","37.35","37.70","-","0.70","37.70","41","37.75","8","13.04",
"1525","江申","21,371","32","1,364,226","64.10","64.10","63.70","63.70","-","0.90","63.70","1","64.00","2","17.26",
"1526","日馳","178,302","181","4,414,700","25.55","25.70","24.45","24.45","-","1.10","24.45","5","24.55","2","0.00",
"1527","鑽全","647,650","528","27,538,709","43.00","43.15","42.20","42.25","-","0.85","42.25","6","42.30","1","13.29",
"1528","恩德","15,284,970","6,155","279,824,968","18.10","18.95","17.90","18.00","+","0.10","18.00","196","18.10","1","0.00",
"1529","樂事綠能","256,012","300","6,853,665","26.80","27.30","26.50","26.50","-","0.55","26.50","37","26.60","5","61.63",
"1530","亞崴","163,091","262","5,035,444","31.20","31.30","30.70","30.70","-","0.50","30.65","4","30.70","3","21.93",
"1531","高林股","2,888,592","1,387","46,670,535","15.25","16.70","15.25","16.70","+","1.50","16.70","11,411","--","0","167.00",
"1532","勤美","9,084,815","4,454","315,021,517","36.00","36.00","33.80","33.95","-","2.65","33.90","17","33.95","135","8.08",
"1533","車王電","95,503","200","4,185,977","45.45","45.45","43.10","43.30","-","0.90","43.15","1","43.30","1","0.00",
"1535","中宇","109,346","287","6,584,182","60.50","60.90","59.30","59.90","-","1.10","59.90","1","60.50","1","13.93",
"1536","和大","2,672,739","2,047","155,890,405","57.40","59.50","57.40","57.40","-","0.20","57.40","35","57.50","2","0.00",
"1537","廣隆","459,993","435","68,168,578","148.00","149.00","147.50","147.50","+","0.50","147.00","30","147.50","3","13.54",
"1538","正峰","5,186","10","93,903","18.20","18.20","18.00","18.00","+","0.10","17.50","2","18.00","4","0.00",
"1539","巨庭","326,638","238","8,247,600","26.00","26.00","25.00","25.00","-","0.60","25.00","20","25.05","7","22.73",
"1540","喬福","1,698,870","1,087","65,390,802","38.30","39.20","38.15","38.20","-","0.40","38.20","41","38.25","16","20.76",
"1541","錩泰","118,405","99","3,296,255","28.25","28.75","27.25","27.25","-","1.20","27.25","6","27.65","1","19.19",
"1558","伸興","89,032","126","9,157,650","103.50","103.50","102.50","102.50","-","1.00","102.00","25","102.50","4","16.83",
"1560","中砂","6,203,247","6,183","1,971,604,929","315.00","323.00","312.00","315.50","+","7.00","315.50","25","316.00","2","48.17",
"1563","巧新","279,462","205","15,757,167","56.40","57.00","56.10","56.20","-","0.30","56.20","10","56.30","4","17.62",
"1568","倉佑","238,821","185","6,689,889","28.25","28.60","27.85","27.90","-","0.30","27.85","18","27.90","1","28.76",
"1582","信錦","832,271","871","78,579,549","95.10","95.90","93.50","93.50","-","1.60","93.50","37","93.60","1","13.79",
"1583","程泰","143,222","155","8,375,855","59.60","59.60","57.90","57.90","-","1.60","57.90","5","58.00","1","11.05",
"1587","吉茂","4,098,923","1,939","189,309,887","43.00","46.90","43.00","46.90","+","4.25","46.90","639","--","0","0.00",
"1589","永冠-KY","439,651","581","16,839,005","38.80","38.95","38.00","38.10","-","0.80","38.05","19","38.10","3","0.00",
"1590","亞德客-KY","533,640","1,049","460,572,570","870.00","887.00","853.00","859.00","-","11.00","858.00","1","859.00","9","22.84",
"1597","直得","920,378","955","83,962,046","92.60","93.10","90.10","90.50","-","1.40","90.50","5","90.80","3","131.16",
"1598","岱宇","311,480","195","8,550,007","27.80","27.85","27.10","27.25","-","0.75","27.20","7","27.45","5","0.00",
"1603","華電","3,042,788","1,404","112,466,203","37.40","37.45","36.45","37.00","-","0.20","36.95","1","37.00","12","12.37",
"1604","聲寶","170,695","176","4,818,068","28.25","28.40","28.15","28.20","-","0.25","28.15","39","28.20","1","13.76",
"1605","華新","10,213,829","5,240","280,547,596","27.60","27.75","27.25","27.25","-","0.35","27.25","51","27.30","16","29.30",
"1608","華榮","1,423,616","1,064","41,182,921","29.45","29.75","28.60","28.60","-","0.80","28.60","12","28.65","13","13.68",
"1609","大亞","3,169,512","2,231","141,651,014","44.85","45.35","44.40","44.60","-","0.20","44.55","1","44.60","18","20.09",
"1611","中電","15,609,823","5,281","277,539,701","17.40","18.15","17.15","17.95","+","0.85","17.90","169","17.95","220","34.52",
"1612","宏泰","1,061,598","717","36,038,857","34.75","34.80","33.50","33.50","-","0.95","33.50","50","33.65","10","13.51",
"1614","三洋電","75,092","62","2,966,428","39.50","40.00","39.35","39.35","-","0.30","39.35","4","39.50","2","56.21",
"1615","大山","117,752","140","6,835,855","58.60","58.70","57.50","57.70","-","1.20","57.70","12","57.90","2","14.91",
"1616","億泰","917,089","465","20,030,970","21.85","22.15","21.65","21.65","-","0.15","21.65","22","21.70","4","19.86",
"1617","榮星","392,300","315","7,324,255","19.20","19.20","18.45","18.45","-","0.55","18.40","33","18.45","2","0.00",
"1618","合機","25,673,547","13,471","1,188,325,999","45.70","49.30","44.20","49.30","+","4.45","49.30","50,146","--","0","13.81",
"1626","艾美特-KY","23,996","69","351,768","14.70","14.70","14.60","14.60","-","0.10","14.60","9","14.65","1","0.00",
"1702","南僑","511,801","545","27,241,288","53.50","53.70","53.00","53.00","-","0.40","53.00","53","53.10","9","11.35",
"1707","葡萄王","210,001","322","31,849,525","152.00","153.00","150.50","151.00","-","1.50","151.00","2","151.50","4","15.22",
"1708","東鹼","4,396,146","3,118","185,806,529","42.35","42.95","41.80","42.15","-","0.20","42.05","3","42.15","39","11.97",
"1709","和益","626,856","427","13,651,383","21.85","21.90","21.65","21.80","+","0.05","21.80","52","21.85","1","14.83",
"1710","東聯","981,226","699","16,327,293","16.70","16.85","16.50","16.65","-","0.15","16.60","45","16.65","24","0.00",
"1711","永光","2,420,887","1,469","55,771,726","23.35","23.60","22.70","22.70","-","0.55","22.70","98","22.75","10","64.86",
"1712","興農","642,305","656","27,945,213","43.15","43.85","43.15","43.70","+","0.55","43.65","1","43.70","4","17.98",
"1713","國化","269,296","150","13,218,985","49.75","49.75","48.65","48.65","-","1.10","48.65","19","48.70","7","14.65",
"1714","和桐","1,386,641","501","11,603,997","8.43","8.43","8.34","8.36","-","0.05","8.35","64","8.36","21","18.58",
"1717","長興","1,730,666","1,131","50,499,054","29.25","29.60","29.05","29.05","-","0.25","29.05","146","29.15","19","19.50",
"1718","中纖","2,710,101","1,000","21,615,686","8.05","8.09","7.92","7.93","-","0.07","7.92","68","7.93","13","0.00",
"1720","生達","315,838","300","20,018,854","63.60","63.80","63.10","63.30","-","0.30","63.30","10","63.40","3","13.35",
"1721","三晃","3,106,945","1,706","57,582,076","19.10","19.20","18.20","18.25","-","0.65","18.20","27","18.25","19","0.00",
"1722","台肥","1,012,558","857","55,446,949","54.50","55.10","54.40","55.10","+","0.30","54.90","4","55.10","91","31.31",
"1723","中碳","284,799","497","27,135,968","95.70","96.00","95.00","95.00","-","0.70","95.00","38","95.30","7","17.53",
"1725","元禎","162,775","145","6,517,658","41.40","41.40","39.20","39.20","-","0.25","39.20","3","39.45","1","22.27",
"1726","永記","28,458","35","2,164,515","76.30","76.30","76.00","76.00","-","0.30","76.00","13","76.20","1","14.81",
"1727","中華化","1,524,452","1,054","53,677,282","36.05","36.45","34.60","34.70","-","1.30","34.65","26","34.70","10","93.78",
"1730","花仙子","17,297","23","915,114","52.90","52.90","52.90","52.90"," ","0.00","52.90","8","53.00","1","14.07",
"1731","美吾華","162,048","138","3,708,839","22.95","23.00","22.80","22.80","-","0.15","22.80","11","23.00","38","17.54",
"1732","毛寶","111,434","123","3,106,110","28.20","28.20","27.60","27.65","-","0.25","27.65","1","27.85","2","145.53",
"1733","五鼎","201,363","183","5,660,090","28.45","28.50","27.90","28.10","-","0.40","28.10","1","28.25","2","26.76",
"1734","杏輝","124,075","248","3,785,299","30.50","30.60","30.40","30.45","-","0.05","30.45","17","30.50","5","16.55",
"1735","日勝化","203,317","134","4,206,476","21.20","21.20","20.50","20.50","-","0.55","20.50","52","20.70","2","21.35",
"1736","喬山","1,113,973","916","158,546,285","140.50","146.00","140.00","140.00","-","0.50","139.50","26","140.00","29","33.10",
"1737","臺鹽","623,802","565","20,284,093","32.95","32.95","32.35","32.35","-","0.55","32.30","28","32.35","11","21.71",
"1752","南光","105,425","127","4,499,110","42.95","43.00","42.55","42.55","-","0.50","42.50","6","42.60","1","35.17",
"1760","寶齡富錦","205,653","309","18,820,310","93.70","93.70","90.60","90.60","-","2.10","90.50","14","90.90","5","63.80",
"1762","中化生","519,977","1,170","20,483,141","40.80","40.80","38.50","38.50","-","2.40","38.50","9","38.85","4","30.56",
"1773","勝一","199,579","228","32,527,668","163.00","164.50","161.50","164.00","+","1.00","163.50","3","164.00","1","23.40",
"1776","展宇","69,058","66","1,303,632","19.15","19.15","18.75","18.85","-","0.20","18.85","8","18.90","3","20.05",
"1783","和康生","68,624","115","2,890,483","42.60","42.60","41.80","41.85","-","1.05","41.85","1","42.00","2","24.05",
"1786","科妍","2,051,201","2,293","197,995,568","100.50","101.50","93.70","93.70","-","6.30","93.70","12","93.80","2","30.52",
"1789","神隆","502,306","385","11,613,129","23.15","23.40","23.00","23.00","-","0.30","23.00","23","23.05","3","46.00",
"1795","美時","6,888,465","8,426","1,978,507,244","281.50","294.50","281.00","282.00","+","0.50","282.00","26","282.50","9","17.26",
"1802","台玻","7,005,420","2,415","126,091,961","18.15","18.40","17.75","17.90","-","0.35","17.90","36","17.95","13","0.00",
"1805","寶徠","144,658","80","2,673,015","18.55","18.55","18.40","18.40","-","0.15","18.35","30","18.50","3","122.67",
"1806","冠軍","734,540","378","7,356,223","10.10","10.20","9.94","9.96","-","0.04","9.96","4","10.00","13","45.27",
"1808","潤隆","3,462,367","2,635","141,255,665","41.05","41.20","40.55","40.55","-","0.65","40.55","10","40.60","3","4.75",
"1809","中釉","460,605","329","9,034,348","19.70","19.80","19.45","19.50"," ","0.00","19.50","19","19.65","9","88.64",
"1810","和成","399,970","234","6,726,121","16.90","17.00","16.70","16.70","-","0.20","16.70","47","16.75","10","53.87",
"1817","凱撒衛","272,844","323","11,571,822","42.65","42.80","42.20","42.20","-","0.30","42.20","5","42.35","4","9.63",
"1903","士紙","194,387","154","10,221,965","53.10","53.20","52.30","52.30","-","0.80","52.30","3","52.40","6","0.00",
"1904","正隆","1,645,182","1,356","36,259,590","22.10","22.25","21.90","22.05","-","0.15","22.00","16","22.05","17","25.64",
"1905","華紙","1,193,707","940","21,151,836","18.00","18.05","17.55","17.55","-","0.35","17.55","18","17.60","23","219.38",
"1906","寶隆","37,494","52","561,155","15.00","15.25","14.90","14.90","-","0.20","14.90","3","15.00","2","0.00",
"1907","永豐餘","1,754,559","1,002","52,054,135","29.70","29.90","29.40","29.80","+","0.10","29.80","4","29.85","16","31.37",
